N.º;Fecha Tiempo, GMT-05:00;Contenido de agua, m³/m³ (LGR S/N: 22462775, SEN S/N: 22413804, LBL: pluviometro);Radiación solar, W/m² (LGR S/N: 22462775, SEN S/N: 22444171, LBL: Radiacion);Temp, °C (LGR S/N: 22462775, SEN S/N: 22461801, LBL: Temp);HR, % (LGR S/N: 22462775, SEN S/N: 22461801, LBL: Humedad);Velocidad del viento, m/s (LGR S/N: 22462775, SEN S/N: 22461851, LBL: Velocidad);Velocidad de Ráfagas, m/s (LGR S/N: 22462775, SEN S/N: 22461851, LBL: Vel_rafagas);Dirección del viento, ø (LGR S/N: 22462775, SEN S/N: 22461851, LBL: DirecV);Lluvia, mm (LGR S/N: 22462775, SEN S/N: 22464947, LBL: Precipitacion)
1;3/03/2026 10:56;-0.0992;79.4;33.799;53.754;3.67;7.01;265.3;
2;3/03/2026 10:57;-0.0992;79.4;32.722;54.316;5.68;7.01;271.0;0.00
3;3/03/2026 10:57;-0.0992;79.4;32.129;55.943;3.67;6.35;279.4;0.00
4;3/03/2026 10:58;-0.0985;79.4;31.971;56.674;3.67;4.34;266.7;0.00
5;3/03/2026 10:58;-0.0985;80.6;32.001;56.991;2.34;4.34;258.3;0.00
6;3/03/2026 10:59;-0.0985;80.6;32.100;56.820;3.67;4.68;261.1;0.00
7;3/03/2026 10:59;-0.0985;80.6;32.164;56.550;2.67;3.34;261.1;0.00
8;3/03/2026 11:00;-0.0985;80.6;32.151;56.110;4.01;5.68;268.1;0.00
9;3/03/2026 11:00;-0.0985;80.6;32.006;56.527;5.01;7.01;268.1;0.00
10;3/03/2026 11:01;-0.0985;80.6;31.778;56.710;5.01;8.02;268.1;0.00
11;3/03/2026 11:01;-0.0985;81.9;31.564;57.877;4.68;6.35;275.2;0.00
12;3/03/2026 11:02;-0.0985;81.9;31.435;58.196;5.01;6.68;263.9;0.00
13;3/03/2026 11:02;-0.0985;81.9;31.421;58.872;2.67;4.01;263.9;0.00
14;3/03/2026 11:03;-0.0985;83.1;31.585;58.413;4.01;6.01;259.7;0.00
15;3/03/2026 11:03;-0.0978;83.1;31.564;58.854;3.01;4.68;271.0;0.00
