N.º;Fecha;Contenido de agua (m³/m³);Radiación solar (W/m²);Temperatura (°C);Humedad (%);Viento (m/s);Viento ráf. (m/s);Dir. viento (°);Precipitación (mm)
1;2025-01-01;0.143;761.1;28.7;68.4;6.79;10.9;321.2;0
2;2025-01-02;0.152;744.0;28.3;67.3;5.87;8.96;79.4;0.02
3;2025-01-03;0.142;776.5;27.6;67.7;4.34;6.09;56.0;0
4;2025-01-04;0.094;677.8;27.1;70.3;5.95;9.05;350.3;0.01
5;2025-01-05;0.139;656.9;24.8;66.2;4.42;6.84;253.6;0
6;2025-01-06;0.134;765.6;27.8;69.9;6.02;9.52;131.3;0
7;2025-01-07;0.123;824.6;27.8;70.3;5.05;7.91;61.6;0
8;2025-01-08;0.114;739.0;26.6;72.3;4.36;7.44;279.4;0
9;2025-01-09;0.113;740.0;28.8;68.5;6.05;10.68;315.5;0
10;2025-01-10;0.14;710.6;29.5;70.9;5.44;8.36;94.6;0
11;2025-01-11;0.134;784.5;28.7;66.2;8.22;12.38;32.7;0
12;2025-01-12;0.132;684.0;27.7;68.8;6.22;11.18;190.5;0
13;2025-01-13;0.119;728.0;27.6;67.7;4.31;6.56;96.1;0
14;2025-01-14;0.114;787.3;26.9;60.9;5.94;8.91;64.3;0
15;2025-01-15;0.091;691.8;28.4;66.2;4.66;6.02;274.5;0
16;2025-01-16;0.13;744.8;26.9;70.7;7.33;12.66;299.4;0
17;2025-01-17;0.127;768.6;30.4;70.2;5.39;8.04;24.9;0
18;2025-01-18;0.11;729.7;24.9;65.8;6.08;8.07;194.1;0.06
19;2025-01-19;0.135;831.5;27.9;70.5;5.46;7.99;186.3;0
20;2025-01-20;0.132;721.8;28.2;66.2;5.56;8.78;82.4;0
21;2025-01-21;0.149;751.4;27.9;67.1;6.69;8.89;47.6;0
22;2025-01-22;0.133;638.3;26.7;69.2;5.63;8.21;152.5;0
23;2025-01-23;0.134;771.8;27.2;63.6;5.46;7.87;122.1;0
